5】、7,time,lat,lng,flex,gsr,bpm
10,15:34:37,45.43007,12.357469,10,271,127
1,15:34:37,45.43007,12.357469,8,268,117
2,15:34:37,45.43007,12.357469,18,264,115
3,15:34:37,45.43007,12.357469,15,262,120
4,15:34:37,45.43007,12.357469,22,259,122
5,15:34:37,45.43007,12.357469,16,258,109
6,15:34:44,45.430103,12.357509,13,258,117
7,15:34:44,45.430103,12.357509,10,259,123
8,15:34:44,45.430103,12.357509,18,260,126
9,01:44:48,45.430106,0.016667,18,261,115
10,01:44:48,45.430106,0.016667,20,261,120
11,01:44:48,45.430106,0.016667,26,262,121
12,01:44:48,45.430106,0.016667,14,262,124
13,01:44:48,45.430106,0.016667,12,264,125
14,01:44:48,45.430106,0.016667,13,265,120
15,01:44:48,45.430106,0.016667,17,265,118
16,01:44:48,45.430106,0.016667,16,266,121
17,15:34:56,45.430136,12.357692,17,267,124
18,15:34:56,45.430136,12.357692,27,265,114
19,15:34:56,45.430136,12.357692,14,267,120
20,15:34:56,45.430136,12.357692,13,268,121
21,15:34:56,45.430136,12.357692,14,268,122
22,15:34:56,45.430136,12.357692,12,268,116
23,15:34:56,45.430136,12.357692,19,268,121
24,15:34:56,45.430136,12.357692,22,267,121
25,15:34:56,45.430136,12.357692,19,269,119
26,15:34:56,45.430136,12.357692,16,270,120
27,15:34:56,45.430136,12.357692,17,271,119
28,15:34:56,45.430136,12.357692,18,270,120
29,15:34:56,45.430136,12.357692,17,268,110
30,15:34:56,45.430136,12.357692,27,269,119
31,15:34:56,45.430136,12.357692,15,269,123
32,15:34:56,45.430136,12.357692,12,269,123
33,15:35:13,45.430191,12.357914,16,270,121
34,01:14:31,45.430199,0.35793,12,270,118
35,01:14:31,45.430199,0.35793,12,271,121
36,01:14:31,45.430199,0.35793,19,271,119
37,01:14:31,45.430199,0.35793,13,272,122
38,01:14:31,45.430199,0.35793,13,273,121
39,01:14:31,45.430199,0.35793,16,274,117
40,01:14:31,45.430199,0.35793,14,273,116
41,01:14:31,45.430199,0.35793,17,273,122
42,01:14:31,45.430199,0.35793,18,273,124
43,01:14:31,45.430199,0.35793,11,274,122
44,01:14:31,45.430199,0.35793,11,274,120
45,01:14:31,45.430199,0.35793,12,274,119
46,01:14:31,45.430199,0.35793,21,274,118
47,01:14:31,45.430199,0.35793,13,272,119
48,01:14:31,45.430199,0.35793,26,271,121
49,01:14:31,45.430199,0.35793,16,270,121
50,01:14:31,45.430199,0.35793,15,270,121
51,01:14:31,45.430199,0.35793,14,270,121
52,01:14:31,45.430199,0.35793,16,269,117
53,01:14:31,45.430199,0.35793,17,269,123
54,01:14:31,45.430199,0.35793,15,268,120
55,01:14:31,45.430199,0.35793,12,269,121
56,01:14:31,45.430199,0.35793,15,269,117
57,01:14:31,45.430199,0.35793,15,269,121
58,01:14:31,45.430199,0.35793,20,269,119
59,01:14:31,45.430199,0.35793,13,269,120
60,01:14:31,45.430199,0.35793,14,269,120
61,01:14:31,45.430199,0.35793,13,268,120
62,01:14:31,45.430199,0.35793,13,268,121
63,01:14:31,45.430199,0.35793,17,269,119
64,01:14:31,45.430199,0.35793,13,269,120
65,01:14:31,45.430199,0.35793,12,268,120
66,01:14:31,45.430199,0.35793,14,269,119
67,01:14:31,45.430199,0.35793,12,270,120
68,01:14:31,45.430199,0.35793,11,270,118
69,01:14:31,45.430199,0.35793,17,271,119
70,01:14:31,45.430199,0.35793,20,271,121
71,01:14:31,45.430199,0.35793,12,271,121
72,01:14:31,45.430199,0.35793,10,271,121
73,01:14:31,45.430199,0.35793,14,272,121
74,01:14:31,45.430199,0.35793,12,272,121
75,01:14:31,45.430199,0.35793,17,272,117
76,01:14:31,45.430199,0.35793,14,272,123
77,01:14:31,45.430199,0.35793,11,271,118
78,01:14:31,45.430199,0.35793,13,272,117
79,01:14:31,45.430199,0.35793,15,273,121
80,01:14:31,45.430199,0.35793,13,273,118
81,01:14:31,45.430199,0.35793,18,273,119
82,01:14:31,45.430199,0.35793,12,274,118
83,01:14:31,45.430199,0.35793,13,273,120
84,01:14:31,45.430199,0.35793,18,272,119
85,01:14:31,45.430199,0.35793,15,270,115
86,01:14:31,45.430199,0.35793,17,274,119
87,01:14:31,45.430199,0.35793,20,273,122
88,01:14:31,45.430199,0.35793,13,274,117
89,01:14:31,45.430199,0.35793,14,273,121
90,01:14:31,45.430199,0.35793,15,271,121
91,01:14:31,45.430199,0.35793,13,269,119
92,01:14:31,45.430199,0.35793,18,267,117
93,01:14:31,45.430199,0.35793,19,266,116
94,15:36:20,0.71359,12.358593,11,264,117
95,15:36:20,0.71359,12.358593,13,264,120
96,15:36:20,0.71359,12.358593,16,265,120
97,15:36:20,0.71359,12.358593,15,265,121
98,15:36:20,0.71359,12.358593,16,265,118
99,15:36:20,0.71359,12.358593,21,265,114
100,133:70:00,45.430294,0.208667,15,265,120
101,133:70:00,45.430294,0.208667,18,266,122
